last_author,subject,keywords,journal-title,publisher-name,article-title,first_author,contrib,aff,year
Zhang                    Zhilin,,,World Journal of Surgical Oncology,BioMed Central,Clinical implications of insulin-like growth factor 1 system in early-stage cervical cancer,Lu,8,,2008
Aspray                    Terence,        Study Protocol       ,,Trials,London: EMEA,Calcium supplements with or without vitamin D and risk of cardiovascular events: reanalysis of the Women’s Health Initiative limited access dataset and meta-analysis,Schoenmakers                    Inez,11,,2011
Wakabayashi                    Keiji,,,Particle and Fibre Toxicology,New York: Raven Press,Recent advances in the protocols of transgenic mouse mutation assays,Totsuka                    Yukari,17,,2000
Fan                    Yun,,,Translational Lung Cancer Research,AME Publishing Company,Associations between peripheral blood lymphocyte subsets and clinical outcomes in patients with lung cancer treated with immune checkpoint inhibitor.,Xu                    Xiaoling,9,,2021
Bunting                    Kevin D.,,,PLoS ONE,Public Library of Science,Targeting AMPK in the treatment of malignancies,Vakana                    Eliza,6,,2011
Bamgboye                    Elijah Afolabi,,,Ethiopian Journal of Health Sciences,Blackwell Science,"Antibodies to tetanus toxoid in women of childbearing age in Dar es Salaam and Bagamoyo, Tanzania",Orimadegun                    Adebola Emmanuel,3,,2001
Lee                    Kyounga,,,"Inquiry: A Journal of Medical Care Organization, Provision and Financing",Elsevier,"Nursing skill mix in European hospitals: Cross-sectional study of the association with mortality, patient ratings, and quality of care",Kim                    Yunmi,2,,2017
Zhao                    Tingting,,,Technology in Cancer Research & Treatment,SAGE Publications,Transcriptome profiling of the cancer and adjacent nontumor tissues from cervical squamous cell carcinoma patients by RNA sequencing,Shen                    Mingjun,9,,2015
Kleemans                    Edward,,,International Review of Victimology,La Strada International,Victims’ experiences in the criminal justice system and their recovery from crime,Cusveller                    Jeltsje,2,"VU University Amsterdam, The Netherlands",2014
Liu                    Hong-Chen,,,Molecular Medicine Reports,D.A. Spandidos,28 Expression of integrin α-11 by carcinoma associated fibroblasts modulates oral squamous cell carcinoma behavior,Luo                    Wei,8,,2015
Servedio                    Maria,        Zoology       ,,PeerJ,Cornell Lab of Ornithology,"Bushshrikes and Allies (Malaconotidae), version 1.0",Wheeldon                    Amie,5,,2020
Wang,,,Cancer Cell International,BioMed Central,"MicroRNA-155 regulates the proliferation, cell cycle, apoptosis and migration of colon cancer cells and targets CBL",Yin                    Libin,7,,2017
Shaffer                    John R.,,,Scientific Reports,University of Oregon Press,Human facial shape and size heritability and genetic correlations,Liu                    Dongjing,16,,2017
Kumar                    Neeraj,,,Annals of Indian Academy of Neurology,Elsevier Ltd,Clinical and biochemical spectrum of hypokalemic paralysis in North: East India,Verma                    Rajesh,10,,2013
Zhang                    Hongmei,,,Frontiers in Endocrinology,Frontiers Media S.A.,Cross-Sectional and Longitudinal Studies Suggest Pharmacological Treatment Used in Patients With Glucokinase Mutations Does Not Alter Glycaemia,Li                    Juyi,8,,2014
Hurst                    Jane A,,,European Journal of Human Genetics,Nature Publishing Group,Tbx22null mice have a submucous cleft palate due to reduced palatal bone formation and also display ankyloglossia and choanal atresia phenotypes,Goos                    Jacqueline A C,19,,2009
Lastres-Becker                    Isabel,        Communication       ,,Biomolecules,MDPI,Nrf2 overexpression increases risk of high tumor mutation burden in acute myeloid leukaemia by inhibiting MSH2,Garufi                    Alessia,8,,2021
Jackson,        Brief Communication       ,,Genetics in Medicine,Nature Publishing Group US,Pathogenic variants in NUP214 cause “plugged” nuclear pore channels and acute febrile encephalopathy,Parry                    David A.,98,,2019
Chen                    Minjun,,,International Journal of Environmental Research and Public Health,Springer,XGBoost-based framework for smoking-induced noncommunicable disease prediction,Park,6,,2020
Mangeney                    Marianne,,,Oncotarget,Impact Journals LLC,Histone deacetylase 6 represents a novel drug target in the oncogenic Hedgehog signaling pathway,Froehlich                    Jeanne,9,,2015
Hanna                    Debra,        Original Paper       ,,Journal of Pharmacokinetics and Pharmacodynamics,Bled,So am I or am I not proarrhythmic? Comparison of various classifications of drugs TdP propensity,Polak                    Sebastian,7,,2017
Zhang,,,BioMed Research International,Musculoskeletal Transplant Foundation,The use of platelet-rich fibrin membrane in gingival recession treatment,Li,7,,2010
Shu,        Review       ,,Journal of Hematology & Oncology,BioMed Central,Complementary sequence-mediated exon circularization,Yu                    Tao,7,,2014
Schroeder                    P.,,,Space Science Reviews,Springer,ULTIMA: array of ground-based magnetometer arrays for monitoring magnetospheric and ionospheric perturbations on a global scale,Angelopoulos                    V.,102,,2012
Knowles                    Scott O.,        Short Communication       ,,Food Chemistry: X,Springer Singapore,Evaluation of functional and chemical properties of crust from dry-aged beef loins as a novel food ingredient,Kim                    Jihan,6,"Smart Foods Innovation Centre of Excellence, AgResearch Ltd., Te Ohu Rangahau Kai, Palmerston North 4422, New Zealand",2019
Zhu                    Yu-yan,,,BMC Cancer,BioMed Central,Inhibition of presenilins attenuates proliferation and invasion in bladder cancer cells through multiple pathways,Liu                    Jiao,5,,2013
White                    Abby,,,Journal of Thoracic Disease,AME Publishing Company,Effect of COVID-19 on Thoracic Oncology Surgery in Spain: A Spanish Thoracic Surgery Society (SECT) Survey.,Dolan                    Daniel P.,9,,2021
Shi                    Wei,,,Cancer Medicine,John Wiley and Sons Inc.,Immunotoxins made with a recombinant form of Pseudomonas exotoxin A that do not require proteolysis for activity,Wu                    Jiang,8,,1993
Hu,,,OncoTargets and therapy,Dove,Signaling via the CXCR5/ERK pathway is mediated by CXCL13 in mice with breast cancer,Mo                    Miao,5,,2018
Zuccaro                    Valentina,,,International Journal of Molecular Sciences,MDPI,Defining the Underlying Sensory Dimensions,Del Chierico,21,,2000
Aksoy                    Serap,        Virology/Emerging Viral Diseases       ,,PLoS Neglected Tropical Diseases,Sinauer Associates,"Genetic and antigenic diversity among eastern equine encephalitis viruses from North, Central, and South America.",Aguilar                    Patricia V.,15,"Yale School of Public Health, United States of America",1999
Nault                    Marie-Lyne,,,OTA International,Wolters Kluwer Health,Computed tomography of normal distal tibiofibular syndesmosis,Gosselin-Papadopoulos                    Nayla,7,,2010
Pagano                    Livio,,,Journal of Fungi,MDPI,The clinical spectrum of pulmonary aspergillosis,Twu                    Kuan-Hsiang,7,,2014
Asghari Jafarabadi                    Mohammad,            Covariance           ,,PLoS ONE,The Guilford Press,Acceptance letter,Chai                    Shirlie,9,,2010
Yamada,,,Nature Communications,Nature Publishing Group UK,ICF-specific DNMT3B dysfunction interferes with intragenic regulation of mRNA transcription and alternative splicing,Yagi                    Masaki,11,,2017
Krahe                    Ralf,          Genetic Loci         ,,PLoS ONE,"Flinders University, Ophthalmology",Trinucleotide Repeat Expansion in the Transcription Factor 4 (TCF4) Gene Leads to Widespread mRNA Splicing Changes in Fuchs' Endothelial Corneal Dystrophy,Kuot                    Abraham,9,,2017
Hurrell                    Tracey,,,Scientific Reports,Springer,ClearT: A detergent-and solvent-free clearing method for neuronal and non-neuronal tissue,Ellero                    Andrea Antonio,5,,2013
Sayed                    Dawood,         Review        ,,Frontiers in Pain Research,Frontiers Media S.A.,Development and description of a new multifidus-sparing radiofrequency neurotomy technique for facet joint pain,Tieppo Francio                    Vinicius,4,,2021
Tchounwou                    Paul B.,,,International Journal of Environmental Research and Public Health,"World Health Organization, Regional Office for Europe","Importance of the Green Belts to Reduce Noise Pollution and Determination of Roadside Noise Reduction Effectiveness of Bushes in Konya, Turkey",Rahman                    Md. Mostafizur,13,,2012
Nwokike                    Jude,        Review       ,,Globalization and Health,WHO,Regulatory in vitro diagnostics landscape in Africa: update on regional activities,Roth                    Lukas,17,,2016
Mandai                    Masaki,,,Reproductive Medicine and Biology,John Wiley and Sons Inc.,Rupture of ectopic pregnancy with minimally detectable beta‐human chorionic gonadotropin levels: a report of 2 cases,Watanabe                    Koichi,7,,2007
Zhang                    Ge,,,International Journal of Molecular Sciences,MDPI,Migration-prone glioma cells show curcumin resistance associated with enhanced expression of miR-21 and invasion/anti-apoptosis-related proteins,Shao                    Ying-Ying,8,,2015
Cui,,,Stem Cell Research & Therapy,BioMed Central,Transcription factor binding dynamics during human ES cell differentiation,Zhang                    Shuchen,7,,2015
Vanamee                    Eva,,,Cells,MDPI,Suppression of Akt/Foxp3-mediated miR-183 expression blocks Sp1-mediated ADAM17 expression and TNFalpha-mediated NFκB activation in piceatannol-treated human leukemia U937 cells,Fritsch,10,,2012
