article_type,last_author,keywords,journal-title,ISSN,publisher-name,subject,article-title,first_author,contrib,aff,year,funding,institution,award,PMCID,tokenized_METHODS,country
research-article,Malemud                 Charles J.,,International Journal of Molecular Sciences,1422-0067,LANDES Bioscience,Article,BLAT—The BLAST-like alignment tool,Suzuki                    Hitoshi,11,,2002,,,,PMC5085753, ,
review-article,Santanelli di Pompeo                 Fabio,,Aesthetic Plastic Surgery,1432-5241,Elservier Ltd.,Review,Alternative technique for nipple-areola complex reconstruction with poor skin condition,Paolini                    Guido,5,,2017,"Università degli Studi di Roma La Sapienza, Open access funding provided by Università degli Studi di Roma La Sapienza within the CRUI-CARE Agreement.",Università degli Studi di Roma La Sapienza,,PMC8144123, ,
research-article,Schalken                 Jack,,International Journal of Molecular Sciences,1422-0067,Humana Press,Article,[36] Gel-staining techniques,Mendoza                    Christopher,4,,2010,,,,PMC8037251, ,
research-article,Barnett                 Lisa Michele,,Journal of Sport and Health Science,2213-2961,"Melbourne, VIC, Australia",Editorial,School and community physical activity characteristics and moderate-to-vigorous physical activity among Chinese school-aged children: a multilevel path model analysis,Mazzoli                    Emiliano,7,,2017,,,,PMC6451043, ,
research-article,Berglund                 Lars,,Journal of the Endocrine Society,2472-1972,Oxford University Press,AcademicSubjects/MED00250,Plasma proprotein convertase subtilisin kexin type 9 is a heritable trait of familial combined hyperlipidaemia,Enkhmaa,7,,2011,"National Institutes of Health, 10.13039/100000002, R01#HL62705, UC Davis Clinical and Translational Center, #TR001860, Women’s Health Program Award, #NIH 2K12HD051958",Women’s Health Program Award,#NIH 2K12HD051958,PMC7358566, ,USA
research-article,van der Laan                 Luc J. W.,,Frontiers in Immunology,1664-3224,Frontiers Media S.A.,Original Research,Iron Overload as a Risk Factor for Hepatic Ischemia-Reperfusion Injury in Liver Transplantation: Potential Role of Ferroptosis,Shi                    Shaojun,12,,2020,,Department of Pathology Erasmus MC-University Medical Center,,PMC9152120, ,Netherlands
research-article,Fu                 Kai,,PLoS ONE,1932-6203,Public Library of Science,Hematopoiesis,"Histone deacetylase inhibitors, valproic acid and trichostatin-A induce apoptosis and affect acetylation status of p53 in ERG-positive prostate cancer cells",Bock                    Juliane,8,,2011,"This study was supported by research funding from the Deutsche Krebshilfe to CDB. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC3536782, ,
research-article,Lai                 Mei-Shu,,The Journal of International Medical Research,1473-2300,Springer International Publishing,Research Reports,Standards of medical care in diabetes–2013,Huang                    Li-Ying,6,,2013,,,,PMC5536765, ,
research-article,Linker                 Ralf Andreas,,PLoS ONE,1932-6203,Public Library of Science,Hematology,Enhancement of antiviral immunity by small molecule antagonist of suppressor of cytokine signaling.,Tomchuck                    Suzanne L.,5,"Friedrich-Alexander University Erlangen, Germany",2010,,,,PMC3382127, ,
research-article,Giudice                 Linda C.,,Frontiers in Genetics,1664-8021,Frontiers Media S.A.,Original Research,A review in research progress concerning m6A methylation and immunoregulation.,Zhai                    Junyu,7,,2019,,Shanghai Key Laboratory for Assisted Reproduction and Reproductive Genetics,,PMC7350935, ,China
research-article,Chen                 Antao,,Frontiers in Psychology,1664-1078,"Vienna, Austria",Original Research,Sustained attention is associated with error processing impairment: evidence from mental fatigue study in four-choice reaction time task,Li                    Qing,7,,2015,"National Natural Science Foundation of China, 10.13039/501100001809, 32171040, 31900803, Chongqing Research and Innovation Funds for Postgraduates, CYB22096",National Natural Science Foundation of China,CYB22096,PMC9592692, ,China
research-article,Huang,,JACS Au,2691-3704,American Chemical Society,Article,"Design, synthesis,
and evaluation of diazeniumdiolate-based DNA cross-linking agents
activatable by glutathione",Wu,9,,2016,"National Natural Science Foundation of China, 10.13039/501100001809, 31870946",National Natural Science Foundation of China,31870946,PMC9597859, ,P. R. China
research-article,Faisham                 WI,,Malaysian Orthopaedic Journal,2232-111X,Malaysian Orthopaedic Association,Original Article,Retrospective analysis of giant cell tumour lower end radius treated with En bloc excision and translocation of ulna,Choo                    CY,7,"**Department of Orthopaedics, Prince Court Medical Centre, Kuala Lumpur, Malaysia",218,,,,PMC6287129, ,
research-article,Harhay                 Gregory P.,,Microbial Genomics,2057-5858,"US Department of Health and Human Services, CDC",Systems Microbiology: Large-scale Comparative Genomics,The,Nguyen                    Scott V.,10,,2012,"The Beef Checkoff, 58-5438-3-413",Enteric Disease Laboratory Branch Division of Foodborne Waterborne and Environmental Diseases Centers for Disease Control and Prevention,58-5438-3-413,PMC6159554, ,USA
research-article,Snel                 Berend,,PLoS ONE,1932-6203,Public Library of Science,"Biochemistry/Bioinformatics, Biochemistry/Molecular Evolution, Computational Biology/Comparative Sequence Analysis, Computational Biology/Macromolecular Sequence Analysis, Computational Biology/Protein Homology Detection, Evolutionary Biology/Bioinformatics, Immunology/Antigen Processing and Recognition, Immunology/Genetics of the Immune System, Immunology/Immunity to Infections, Infectious Diseases/Respiratory Infections, Infectious Diseases/Viral Infections",Requirement for CD4 T cell help in generating functional CD8 T cell memory.,Heiny                    A. T.,9,"Utrecht University, Netherlands",2003,,,,PMC2065905, ,
research-article,Mohapatra                 Shyam S,,Genetic Vaccines and Therapy,1479-0556,BioMed Central,Research,Characterization of heme oxygenase 1 (heat shock protein 32) induction by atrial natriuretic peptide in human endothelial cells,Wang                    Xiaoqin,7,,2003,,,,PMC2291050, ,
research-article,Yamasue                 Hidenori,,PLoS ONE,1932-6203,Psycholog Assess Resour,Research Article,The human amygdala is necessary for developing and expressing normal interpersonal trust,Nishina                    Kuniyuki,6,,2011,"This study was funded by Japan Society for the Promotion of Scientific Grant #25118004 and #23223003, https://www.jsps.go.jp/english/index.html",,,PMC4621758,These 600 individuals consisted of 75 men and 75 women in each 10-year age group from 20 to 59 years.,
research-article,Katrukha                 Alexey G.,,Blood Coagulation & Fibrinolysis,1473-5733,Lippincott Williams And Wilkins,Original Articles,Troponin I is released in bloodstream of patients with acute myocardial infarction not in free form but as complex,Kogan                    Alexander E.,7,,1997,,,,PMC4935535, ,
research-article,Rühe                 Ferdinand,,International Journal of Health Geographics,1476-072X,Open Source Geospatial Foundation,Research,Variable spikes in tick-borne encephalitis incidence in 2006 independent of variable tick abundance but related to weather,Kiffner                    Christian,7,,2008,,,,PMC2928184, ,
research-article,Schutte                 Aletta E,,Cardiovascular Journal of Africa,1680-0745,University of New South Wales Press,Cardiovascular Topics,"The impact of urbanization on physical, physiological and mental health of Africans in the North West Province of South Africa, the THUSA study.",Zatu                    Mandlenkosi C,3,"Hypertension in Africa Research Team (HART), School for Physiology, Nutrition and Consumer Sciences, North-West University, Potchefstroom, South Africa",2000,,,,PMC4650927, ,
research-article,Deng,,Cell Death and Differentiation,1476-5403,Nature Publishing Group UK,Article,Sphingosine kinase 1 protects hepatocytes from lipotoxicity via down-regulation of IRE1alpha protein expression,Qiao                    Han,9,,2015,"https://doi.org/10.13039/501100010226, Department of Education of Guangdong Province (Guangdong Province Education Department), 2017KCXTD001, Deng, Yiqun",Department of Education of Guangdong Province (Guangdong Province Education Department),2017KCXTD001,PMC7852545, ,
review-article,Fernandes                 Juliana Campos Hasse,,Journal of Indian Society of Periodontology,0975-1580,Wolters Kluwer - Medknow,Review Article,Use of guidelines to improve the quality and transparency of reporting oral health research,Fernandes                    Gustavo Vicentis De Oliveira,6,,2015,,,,PMC8603797, ,
research-article,Gray                 Clive M.,,PLoS ONE,1932-6203,Public Library of Science,Biophysics,CD8+ T-cell mediated self–reactivity in HLA-B27 context as a consequence of dual peptide conformation.,Nurzia                    Elisa,10,"University of Cape Town, South Africa",2010,,,,PMC3293911, ,
research-article,George,,Bioscience Reports,1573-4935,Portland Press Ltd.,Research Articles,Jumonji domain-containing protein 6 (jmjd6) is required for angiogenic sprouting and regulates splicing of vegf-receptor 1,Eddy                    Adrian C.,4,,2011,,,,PMC7042122, ,
research-article,Pantanelli,,Journal of Cataract and Refractive Surgery,1873-4502,Wolters Kluwer,Article,Comparison of the visual performance after implantation of three aberration-correcting aspherical intraocular lens,Schallhorn,3,"From the Department of Ophthalmology, University of California, San Francisco, San Francisco, California (Schallhorn); Optical Express, Glasgow,",2021,,,,PMC9514744, ,United Kingdom
research-article,Malaga                 German,,PLoS ONE,1932-6203,Ageing and Health Programme (AHE),Social and Behavioral Sciences,Caring for elderly people at home: the consequences to caregiver's.,Qidwai                    Waris,7,"Universidad Peruana Cayetano Heredia, Peru",1997,,,,PMC3208547, ,
research-article,Kuo                 Yong-Fang,,Journal of Primary Care & Community Health,2150-1327,Institute of Medicine,Original Research,Utilization of Telemedicine among rural Medicare beneficiaries,Xue                    Ying,5,,2016,"National Institute of Health, UL1TR001439, Agency for Healthcare Research and Quality, https://doi.org/10.13039/100000133, R01-HS020642, R24-HS022134",Agency for Healthcare Research and Quality,"R01-HS020642, R24-HS022134",PMC5932742, ,
research-article,Hartley                 L,,Journal of Perinatology,1476-5543,Springer: Heidelberg,Original Article,Human microvascular endothelial cells from different fetal organs demonstrate organ-specific CAM expression,Kandasamy                    Y,4,,2005,,Department of Neonatology The Townsville Hospital,,PMC3365284, ,Australia
research-article,Kim                 Hak Rim,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,Quantitative zymography: Detection of picogram quantities of gelatinases,Kim                    Ju Hwan,9,,1994,"http://dx.doi.org/10.13039/501100014188, Ministry of Science and ICT, South Korea, 2019‐0‐00102, Kim, Hak Rim",Ministry of Science and ICT South Korea,2019‐0‐00102,PMC8027011, ,
research-article,Doyle                 Francis J.,,American Journal of Physiology - Endocrinology and Metabolism,1522-1555,Springer,Research Article,The energy metabolism dysfunction in psychiatric disorders postmortem brains: focus on proteomic evidence,Somvanshi                    Pramod R.,11,,2017,"US Army Medical Research and Material Command, W911NF-17-2-0086, W81XWH-10-1-0021",Institute for Systems Biology,W81XWH-10-1-0021,PMC6879860, ,
